iterations,innodb_buffer_pool_size,innodb_log_file_size,innodb_flush_method,thread_cache_size,innodb_thread_sleep_delay,max_connections,Average,99%_Line,Throughput
0,128,48,fsync,9,10000,151,3257,5171,15
1,3437,48,fsync,22,36,165,1776,3017,27.7
2,1605,206,fsync,47,274,177,1511,2325,32.7
3,4470,246,fsync,10,351,194,1507,2788,32.9
4,1601,207,fsync,47,274,177,1522,2300,32.5
5,1591,228,fsync,49,266,171,1574,2437,31.4
6,1598,207,fsync,47,274,177,1589,2318,31.1
7,1588,209,fsync,57,283,182,1539,2545,31.9
8,1596,194,fsync,48,286,169,2341,3674,21
9,1604,199,fsync,37,268,169,2389,3591,20.6
10,1599,207,fsync,53,299,186,1887,2739,26.2
